"e","package Spring.web;

import org.springframework.boot.SpringApplication;
import org.springframework.boot.autoconfigure.SpringBootApplication;

@SpringBootApplication
public class HelloWorldSpringIntellijApplication {

	public static void main(String[] args) {
		SpringApplication.run(HelloWorldSpringIntellijApplication.class, args);
	}

}
","","0","1631552760606","HelloWorldSpringIntellijApplication.java"
"a","Choose Lookup Item",,,"1631553062153","PrimeiroControlador.java"
"e","wired","","406","1631553062172","PrimeiroControlador.java"
"e","org.springframework.beans.factory.annotation.","","402","1631553062200","PrimeiroControlador.java"
"e","rg.springframework.beans.factory.annotation.Autowired;import o","","92","1631553062211","PrimeiroControlador.java"
"e","","org.springframework.beans.factory.annotation.","464","1631553062221","PrimeiroControlador.java"
"e","
","","146","1631553062232","PrimeiroControlador.java"
"a","Enter",,,"1631553062800","PrimeiroControlador.java"
"e","    p
","","475","1631553065057","PrimeiroControlador.java"
"k","p",,"480","1631553065058","PrimeiroControlador.java"
"e","r","","480","1631553065156","PrimeiroControlador.java"
"k","r",,"481","1631553065157","PrimeiroControlador.java"
"e","i","","481","1631553065979","PrimeiroControlador.java"
"k","i",,"482","1631553065983","PrimeiroControlador.java"
"e","v","","482","1631553066381","PrimeiroControlador.java"
"k","v",,"483","1631553066384","PrimeiroControlador.java"
"e","a","","483","1631553067482","PrimeiroControlador.java"
"k","a",,"484","1631553067485","PrimeiroControlador.java"
"e","t","","484","1631553067684","PrimeiroControlador.java"
"k","t",,"485","1631553067689","PrimeiroControlador.java"
"e","e","","485","1631553067761","PrimeiroControlador.java"
"k","e",,"486","1631553067767","PrimeiroControlador.java"
"k"," ",,"487","1631553067926","PrimeiroControlador.java"
"e"," I","","486","1631553069643","PrimeiroControlador.java"
"k","I",,"488","1631553069644","PrimeiroControlador.java"
"e","P","","488","1631553070275","PrimeiroControlador.java"
"k","P",,"489","1631553070280","PrimeiroControlador.java"
"e","e","","489","1631553070463","PrimeiroControlador.java"
"k","e",,"490","1631553070468","PrimeiroControlador.java"
"e","s","","490","1631553070660","PrimeiroControlador.java"
"k","s",,"491","1631553070667","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631553071329","PrimeiroControlador.java"
"e","soaDao","","491","1631553071520","PrimeiroControlador.java"
"e","Spring.dao.","","487","1631553071549","PrimeiroControlador.java"
"e","pring.dao.IPessoaDao;import S","","29","1631553071566","PrimeiroControlador.java"
"e","","Spring.dao.","516","1631553071582","PrimeiroControlador.java"
"e","
","","50","1631553071594","PrimeiroControlador.java"
"k"," ",,"528","1631553072592","PrimeiroControlador.java"
"e"," p","","527","1631553073508","PrimeiroControlador.java"
"k","p",,"529","1631553073508","PrimeiroControlador.java"
"e","e","","529","1631553073584","PrimeiroControlador.java"
"k","e",,"530","1631553073588","PrimeiroControlador.java"
"e","s","","530","1631553073779","PrimeiroControlador.java"
"k","s",,"531","1631553073782","PrimeiroControlador.java"
"e","s","","531","1631553074090","PrimeiroControlador.java"
"k","s",,"532","1631553074094","PrimeiroControlador.java"
"e","o","","532","1631553074173","PrimeiroControlador.java"
"k","o",,"533","1631553074176","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631553074546","PrimeiroControlador.java"
"e","aDao","","533","1631553074565","PrimeiroControlador.java"
"e",";","","537","1631553076356","PrimeiroControlador.java"
"k",";",,"538","1631553076356","PrimeiroControlador.java"
"a","Enter",,,"1631553084937","PrimeiroControlador.java"
"e","
        ","","684","1631553084954","PrimeiroControlador.java"
"a","Enter",,,"1631553085111","PrimeiroControlador.java"
"a","Up",,,"1631553085958","PrimeiroControlador.java"
"k","v",,"698","1631553088379","PrimeiroControlador.java"
"k","a",,"699","1631553088563","PrimeiroControlador.java"
"k","r",,"700","1631553088718","PrimeiroControlador.java"
"k"," ",,"701","1631553089027","PrimeiroControlador.java"
"a","Add Import",,,"1631553093366","PrimeiroControlador.java"
"e","import lombok.var;
","","114","1631553095759","PrimeiroControlador.java"
"e","","","196","1631553095759","PrimeiroControlador.java"
"e","
            var p
 ","","700","1631553095759","PrimeiroControlador.java"
"e","","
","723","1631553095760","PrimeiroControlador.java"
"k","p",,"718","1631553095759","PrimeiroControlador.java"
"e","e","","718","1631553095912","PrimeiroControlador.java"
"k","e",,"719","1631553095912","PrimeiroControlador.java"
"e","s","","719","1631553096041","PrimeiroControlador.java"
"k","s",,"720","1631553096041","PrimeiroControlador.java"
"e","s","","720","1631553096215","PrimeiroControlador.java"
"k","s",,"721","1631553096215","PrimeiroControlador.java"
"e","o","","721","1631553096302","PrimeiroControlador.java"
"k","o",,"722","1631553096302","PrimeiroControlador.java"
"e","a","","722","1631553096543","PrimeiroControlador.java"
"k","a",,"723","1631553096543","PrimeiroControlador.java"
"e","s","","723","1631553096614","PrimeiroControlador.java"
"k","s",,"724","1631553096615","PrimeiroControlador.java"
"k"," ",,"725","1631553096790","PrimeiroControlador.java"
"e"," =","","724","1631553097662","PrimeiroControlador.java"
"k","=",,"726","1631553097663","PrimeiroControlador.java"
"k"," ",,"727","1631553097865","PrimeiroControlador.java"
"e"," p","","726","1631553100335","PrimeiroControlador.java"
"k","p",,"728","1631553100342","PrimeiroControlador.java"
"e","e","","728","1631553100455","PrimeiroControlador.java"
"k","e",,"729","1631553100464","PrimeiroControlador.java"
"e","s","","729","1631553100632","PrimeiroControlador.java"
"k","s",,"730","1631553100636","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631553101076","PrimeiroControlador.java"
"e","soaDao","","730","1631553101089","PrimeiroControlador.java"
"e",".","","736","1631553102450","PrimeiroControlador.java"
"k",".",,"737","1631553102451","PrimeiroControlador.java"
"e","f","","737","1631553105098","PrimeiroControlador.java"
"k","f",,"738","1631553105105","PrimeiroControlador.java"
"e","i","","738","1631553105442","PrimeiroControlador.java"
"k","i",,"739","1631553105449","PrimeiroControlador.java"
"e","n","","739","1631553105662","PrimeiroControlador.java"
"k","n",,"740","1631553105673","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631553105899","PrimeiroControlador.java"
"e","dAll","","740","1631553105917","PrimeiroControlador.java"
"e","(","","744","1631553105941","PrimeiroControlador.java"
"e",")","","745","1631553105950","PrimeiroControlador.java"
"e",";","","746","1631553107492","PrimeiroControlador.java"
"k",";",,"747","1631553107494","PrimeiroControlador.java"
"a","Comment with Line Comment",,,"1631553129326","PrimeiroControlador.java"
"e","//","","1635","1631553129336","PrimeiroControlador.java"
"e","//","","1598","1631553129342","PrimeiroControlador.java"
"e","//","","1534","1631553129346","PrimeiroControlador.java"
"e","//","","1499","1631553129351","PrimeiroControlador.java"
"a","Backspace",,,"1631553143037","PrimeiroControlador.java"
"e","","mport lombok.var;","115","1631553143044","PrimeiroControlador.java"
"a","Backspace",,,"1631553143240","PrimeiroControlador.java"
"e","","i","114","1631553143334","PrimeiroControlador.java"
"e","","
","114","1631553143570","PrimeiroControlador.java"
"e","","import java.util.ArrayList;
import java.util.List;

","383","1631553143570","PrimeiroControlador.java"
"a","Comment with Line Comment",,,"1631553207469","PrimeiroControlador.java"
"e","public PrimeiroControlador() {}","","547","1631553352402","PrimeiroControlador.java"
"e","

    ","","547","1631553352411","PrimeiroControlador.java"
"e","
    ","","583","1631553352419","PrimeiroControlador.java"
"e","","    ","591","1631553352432","PrimeiroControlador.java"
"e","Spring.dao.IPessoaDao pessoaDao","","580","1631553355279","PrimeiroControlador.java"
"e","","Spring.dao.","580","1631553355302","PrimeiroControlador.java"
"e","this.pessoaDao = pessoaDao;","","608","1631553355324","PrimeiroControlador.java"
"e","    ","","604","1631553355345","PrimeiroControlador.java"
"e","
    ","","639","1631553355354","PrimeiroControlador.java"
"a","Backspace",,,"1631553366598","PrimeiroControlador.java"
"e",""," public PrimeiroControlador(IPessoaDao pessoaDao) {
        this.pessoaDao = pessoaDao;
    }","552","1631553366692","PrimeiroControlador.java"
"a","Backspace",,,"1631553379029","PrimeiroControlador.java"
"a","Backspace",,,"1631553384375","PrimeiroControlador.java"
"a","Backspace",,,"1631553385032","PrimeiroControlador.java"
"a","Split into declaration and assignment",,,"1631553399762","PrimeiroControlador.java"
"e","","import org.springframework.beans.factory.annotation.Value;
","177","1631553404486","PrimeiroControlador.java"
"e","","    @Value(""${index.saudacao}"")
    private String saudacao;

   ","428","1631553404486","PrimeiroControlador.java"
"e","
","","428","1631553404487","PrimeiroControlador.java"
"e","","var","520","1631553404486","PrimeiroControlador.java"
"e","Iterable<Pessoa> pessoas;
           ","","520","1631553404487","PrimeiroControlador.java"
"e","","        model.addAttribute(""saudacao"",saudacao);
    ","1632","1631553404486","PrimeiroControlador.java"
"a","EditorChange",,,"1631553459281","PrimeiroControlador.java"
"t","Lockout:452448.0",,"607","1631553943744","PrimeiroControlador.java"
"t","Response:452448.0",,"607","1631553946157","PrimeiroControlador.java"
"a","EditorChange",,,"1631554268629","PrimeiroControlador.java"
"t","Lockout:452448.0",,"393","1631554729898","PrimeiroControlador.java"
"t","Response:452448.0",,"393","1631554825934","PrimeiroControlador.java"
"t","OFF:452448.0",,"393","1631554828667","PrimeiroControlador.java"
"e","(","","393","1631554833157","PrimeiroControlador.java"
"e",")","","394","1631554833167","PrimeiroControlador.java"
"k","(",,"394","1631554833168","PrimeiroControlador.java"
"e","r","","394","1631554834385","PrimeiroControlador.java"
"k","r",,"395","1631554834387","PrimeiroControlador.java"
"e","e","","395","1631554834402","PrimeiroControlador.java"
"k","e",,"396","1631554834403","PrimeiroControlador.java"
"e","q","","396","1631554834580","PrimeiroControlador.java"
"k","q",,"397","1631554834583","PrimeiroControlador.java"
"e","u","","397","1631554835247","PrimeiroControlador.java"
"k","u",,"398","1631554835251","PrimeiroControlador.java"
"e","i","","398","1631554835332","PrimeiroControlador.java"
"k","i",,"399","1631554835335","PrimeiroControlador.java"
"e","r","","399","1631554835351","PrimeiroControlador.java"
"k","r",,"400","1631554835354","PrimeiroControlador.java"
"e","e","","400","1631554835427","PrimeiroControlador.java"
"k","e",,"401","1631554835430","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631554835740","PrimeiroControlador.java"
"e","d","","401","1631554835752","PrimeiroControlador.java"
"e"," =","","402","1631554835789","PrimeiroControlador.java"
"e"," ","","404","1631554835796","PrimeiroControlador.java"
"e","t","","405","1631554837432","PrimeiroControlador.java"
"k","t",,"406","1631554837434","PrimeiroControlador.java"
"e","r","","406","1631554837606","PrimeiroControlador.java"
"k","r",,"407","1631554837613","PrimeiroControlador.java"
"a","Choose Lookup Item",,,"1631554838342","PrimeiroControlador.java"
"e","ue","","407","1631554838359","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554852814","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554852921","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853027","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853136","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853654","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853759","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853867","PrimeiroControlador.java"
"a","Move Cursor",,,"1631554853975","PrimeiroControlador.java"
"a","Backspace",,,"1631554856077","PrimeiroControlador.java"
"e","","  Pessoa pessoa = new Pessoa();
                pessoa.setNome(""Luiz"");
                pessoa.setSobrenome(""Gadelha"");
                pessoa.setEmail(""email@email.com"");
                pessoa.setTelefone(""123456789"");
                Pessoa pessoa2 = new Pessoa();
                pessoa2.setNome(""Luiz"");
                pessoa2.setSobrenome(""Gadelha"");
                pessoa2.setEmail(""email@email.com"");
                pessoa2.setTelefone(""123456789"");
                String mensagem = ""Hello com thymeleaf"";","839","1631554856087","PrimeiroControlador.java"
"a","Backspace",,,"1631554861830","PrimeiroControlador.java"
"a","Up",,,"1631554863861","PrimeiroControlador.java"
"a","Up",,,"1631554864377","PrimeiroControlador.java"
"a","Up",,,"1631554864410","PrimeiroControlador.java"
"a","Up",,,"1631554864444","PrimeiroControlador.java"
"a","Up",,,"1631554864478","PrimeiroControlador.java"
"a","Up",,,"1631554864511","PrimeiroControlador.java"
"a","Up",,,"1631554864545","PrimeiroControlador.java"
"a","Up",,,"1631554864580","PrimeiroControlador.java"
"a","Up",,,"1631554864617","PrimeiroControlador.java"
"a","Up",,,"1631554864648","PrimeiroControlador.java"
"a","Up",,,"1631554864682","PrimeiroControlador.java"
"a","Up",,,"1631554864717","PrimeiroControlador.java"
"a","Up",,,"1631554864751","PrimeiroControlador.java"
"a","Up",,,"1631554864785","PrimeiroControlador.java"
"a","Up",,,"1631554864819","PrimeiroControlador.java"
"a","Up",,,"1631554864854","PrimeiroControlador.java"
"a","Down",,,"1631554865246","PrimeiroControlador.java"
"a","Down",,,"1631554865462","PrimeiroControlador.java"
"a","Down",,,"1631554865982","PrimeiroControlador.java"
"a","Down",,,"1631554866013","PrimeiroControlador.java"
"a","Down",,,"1631554866047","PrimeiroControlador.java"
"a","Down",,,"1631554866082","PrimeiroControlador.java"
"a","Down",,,"1631554866115","PrimeiroControlador.java"
"a","Down",,,"1631554866150","PrimeiroControlador.java"
"a","Down",,,"1631554866184","PrimeiroControlador.java"
"a","Down",,,"1631554866218","PrimeiroControlador.java"
"a","Down",,,"1631554866252","PrimeiroControlador.java"
"a","Down",,,"1631554866287","PrimeiroControlador.java"
"a","Down",,,"1631554866494","PrimeiroControlador.java"
"a","Up",,,"1631554867826","PrimeiroControlador.java"
"a","Up",,,"1631554868047","PrimeiroControlador.java"
"a","Up",,,"1631554868227","PrimeiroControlador.java"
"a","Up",,,"1631554868402","PrimeiroControlador.java"
"a","Up",,,"1631554868562","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554869855","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870037","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870220","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870395","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870559","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870735","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554870925","PrimeiroControlador.java"
"a","Down with Selection",,,"1631554871104","PrimeiroControlador.java"
"a","Up with Selection",,,"1631554872574","PrimeiroControlador.java"
"a","Up with Selection",,,"1631554872989","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554873628","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874144","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874175","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874210","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874244","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874279","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874312","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874348","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874383","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874415","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874449","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874484","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874517","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874552","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874586","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874620","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874655","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874689","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874726","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874759","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554874936","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554875125","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554875425","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554875692","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554875884","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554876083","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554876286","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554876480","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554876643","PrimeiroControlador.java"
"a","Right with Selection",,,"1631554877335","PrimeiroControlador.java"
"a","Backspace",,,"1631554878540","PrimeiroControlador.java"
"e","","            //atributos do model: passados via protocolo get
                //Objetos pessoa:
              
//                //Lista de pessoas
//                List<Pessoa> pessoas = new ArrayList<Pessoa>();
//                pessoas.add(pessoa);
//                pessoas.add(pessoa2);
            //adicionando atributos ao objeto model
            model.addAttribute(""mensagem"", mensagem);
            model.addAttribute(""pessoa"",pessoa);
            model.addAttribute(""pessoa2"",pessoa2);","730","1631554891647","PrimeiroControlador.java"
"e","
            //adicionando atributos ao objeto model
","","730","1631554891648","PrimeiroControlador.java"
"t","Lockout:452448.0",,"558","1631555361166","PrimeiroControlador.java"
"t","Response:452448.0",,"558","1631555362805","PrimeiroControlador.java"
"t","Lockout:304966.0",,"558","1631555362812","PrimeiroControlador.java"
"t","Response:304966.0",,"558","1631555363852","PrimeiroControlador.java"
"a","EditorChange",,,"1631555383762","PrimeiroControlador.java"
"t","Lockout:10001.0",,"558","1631555396928","PrimeiroControlador.java"
"t","Response:10001.0",,"558","1631555398453","PrimeiroControlador.java"
"a","Enter",,,"1631555702523","PrimeiroControlador.java"
"e","
","","343","1631555702537","PrimeiroControlador.java"
"a","Paste",,,"1631555703345","PrimeiroControlador.java"
"p","@ComponentScan(basePackages = {""your.company.domain.package""})",,"343","1631555703353","PrimeiroControlador.java"
"e","@ComponentScan(basePackages = {""your.company.domain.package""})","","343","1631555703371","PrimeiroControlador.java"
"a","Add Import",,,"1631555706571","PrimeiroControlador.java"
"e","org.springframework.context.annotation.","","344","1631555706673","PrimeiroControlador.java"
"e","rg.springframework.context.annotation.ComponentScan;import o","","185","1631555706689","PrimeiroControlador.java"
"e","","org.springframework.context.annotation.","404","1631555706708","PrimeiroControlador.java"
"e","
","","237","1631555706750","PrimeiroControlador.java"
"a","Left",,,"1631555710054","PrimeiroControlador.java"
"a","Left",,,"1631555710262","PrimeiroControlador.java"
"a","Left",,,"1631555710452","PrimeiroControlador.java"
"a","Left",,,"1631555710638","PrimeiroControlador.java"
"a","Left",,,"1631555711157","PrimeiroControlador.java"
"a","Left",,,"1631555711191","PrimeiroControlador.java"
"a","Left",,,"1631555711225","PrimeiroControlador.java"
"a","Left",,,"1631555711259","PrimeiroControlador.java"
"a","Left",,,"1631555711293","PrimeiroControlador.java"
"a","Left",,,"1631555711328","PrimeiroControlador.java"
"a","Left",,,"1631555711362","PrimeiroControlador.java"
"a","Left",,,"1631555711396","PrimeiroControlador.java"
"a","Left",,,"1631555711431","PrimeiroControlador.java"
"a","Left",,,"1631555711466","PrimeiroControlador.java"
"a","Left",,,"1631555713440","PrimeiroControlador.java"
"a","Left",,,"1631555713634","PrimeiroControlador.java"
"a","Left",,,"1631555713913","PrimeiroControlador.java"
"a","Left",,,"1631555714132","PrimeiroControlador.java"
"a","Backspace",,,"1631555714959","PrimeiroControlador.java"
"e","","y","447","1631555714975","PrimeiroControlador.java"
"a","Backspace",,,"1631555715153","PrimeiroControlador.java"
"e","","n","446","1631555715231","PrimeiroControlador.java"
"a","Backspace",,,"1631555715359","PrimeiroControlador.java"
"e","","a","445","1631555715379","PrimeiroControlador.java"
"a","Backspace",,,"1631555715539","PrimeiroControlador.java"
"e","","p","444","1631555715553","PrimeiroControlador.java"
"a","Backspace",,,"1631555715711","PrimeiroControlador.java"
"e","","m","443","1631555715729","PrimeiroControlador.java"
"a","Backspace",,,"1631555715893","PrimeiroControlador.java"
"e","","o","442","1631555715907","PrimeiroControlador.java"
"a","Backspace",,,"1631555716078","PrimeiroControlador.java"
"e","","c","441","1631555716094","PrimeiroControlador.java"
"a","Backspace",,,"1631555716239","PrimeiroControlador.java"
"e","",".","441","1631555716253","PrimeiroControlador.java"
"a","Backspace",,,"1631555716424","PrimeiroControlador.java"
"e","","r","439","1631555716610","PrimeiroControlador.java"
"a","Backspace",,,"1631555716630","PrimeiroControlador.java"
"e","","u","438","1631555716662","PrimeiroControlador.java"
"a","Backspace",,,"1631555716762","PrimeiroControlador.java"
"e","","o","437","1631555716778","PrimeiroControlador.java"
"a","Backspace",,,"1631555717236","PrimeiroControlador.java"
"e","","y","436","1631555717263","PrimeiroControlador.java"
"e","s","","436","1631555717990","PrimeiroControlador.java"
"k","s",,"437","1631555717992","PrimeiroControlador.java"
"e","p","","437","1631555718167","PrimeiroControlador.java"
"k","p",,"438","1631555718168","PrimeiroControlador.java"
"e","r","","438","1631555718433","PrimeiroControlador.java"
"k","r",,"439","1631555718435","PrimeiroControlador.java"
"e","i","","439","1631555718975","PrimeiroControlador.java"
"k","i",,"440","1631555718977","PrimeiroControlador.java"
"e","n","","440","1631555719252","PrimeiroControlador.java"
"k","n",,"441","1631555719254","PrimeiroControlador.java"
"e","g","","441","1631555719362","PrimeiroControlador.java"
"k","g",,"442","1631555719365","PrimeiroControlador.java"
"a","Right",,,"1631555721051","PrimeiroControlador.java"
"a","Right",,,"1631555721569","PrimeiroControlador.java"
"a","Right",,,"1631555721603","PrimeiroControlador.java"
"a","Right",,,"1631555721637","PrimeiroControlador.java"
"a","Right",,,"1631555721671","PrimeiroControlador.java"
"a","Right",,,"1631555721705","PrimeiroControlador.java"
"a","Right",,,"1631555721740","PrimeiroControlador.java"
"a","Right",,,"1631555721774","PrimeiroControlador.java"
"a","Right",,,"1631555721809","PrimeiroControlador.java"
"a","Right",,,"1631555721842","PrimeiroControlador.java"
"a","Right",,,"1631555721876","PrimeiroControlador.java"
"a","Right",,,"1631555721911","PrimeiroControlador.java"
"a","Right",,,"1631555722140","PrimeiroControlador.java"
"a","Right",,,"1631555722337","PrimeiroControlador.java"
"a","Right",,,"1631555722584","PrimeiroControlador.java"
"a","Backspace",,,"1631555723160","PrimeiroControlador.java"
"e","","e","456","1631555723171","PrimeiroControlador.java"
"a","Backspace",,,"1631555723330","PrimeiroControlador.java"
"e","","g","455","1631555723341","PrimeiroControlador.java"
"a","Backspace",,,"1631555723505","PrimeiroControlador.java"
"e","","a","454","1631555723525","PrimeiroControlador.java"
"a","Backspace",,,"1631555723683","PrimeiroControlador.java"
"e","","k","453","1631555723698","PrimeiroControlador.java"
"a","Backspace",,,"1631555723854","PrimeiroControlador.java"
"e","","c","452","1631555723872","PrimeiroControlador.java"
"a","Backspace",,,"1631555724016","PrimeiroControlador.java"
"e","","a","451","1631555724268","PrimeiroControlador.java"
"a","Backspace",,,"1631555724293","PrimeiroControlador.java"
"e","","p","450","1631555724307","PrimeiroControlador.java"
"a","Backspace",,,"1631555726022","PrimeiroControlador.java"
"e","",".","449","1631555726044","PrimeiroControlador.java"
"a","Backspace",,,"1631555726209","PrimeiroControlador.java"
"e","","n","448","1631555726221","PrimeiroControlador.java"
"a","Backspace",,,"1631555726374","PrimeiroControlador.java"
"e","","i","447","1631555726391","PrimeiroControlador.java"
"a","Backspace",,,"1631555726548","PrimeiroControlador.java"
"e","","a","446","1631555726700","PrimeiroControlador.java"
"a","Backspace",,,"1631555726733","PrimeiroControlador.java"
"e","","m","445","1631555726761","PrimeiroControlador.java"
"a","Backspace",,,"1631555726895","PrimeiroControlador.java"
"e","","o","444","1631555726911","PrimeiroControlador.java"
"e","a","","444","1631555728457","PrimeiroControlador.java"
"k","a",,"445","1631555728459","PrimeiroControlador.java"
"e","o","","445","1631555728518","PrimeiroControlador.java"
"k","o",,"446","1631555728520","PrimeiroControlador.java"
"a","Moving interface Spring.dao.IPessoaDao to package Spring.web",,,"1631555885515","PrimeiroControlador.java"
"e","package Spring.web;

import Spring.domain.Pessoa;
import org.springframework.data.repository.CrudRepository;
import org.springframework.stereotype.Service;

@Service
public interface IPessoaDao extends CrudRepository<Pessoa,Long > {
}
","","0","1631555885727","IPessoaDao.java"
"e","","dao","35","1631555885748","PrimeiroControlador.java"
"e","web","","35","1631555885749","PrimeiroControlador.java"
"e","","import Spring.web.IPessoaDao;","21","1631555885791","PrimeiroControlador.java"
"e","","
","21","1631555885797","PrimeiroControlador.java"
"a","Backspace",,,"1631555947788","PrimeiroControlador.java"
"e","","@ComponentScan(basePackages = {""spring.dao""})","374","1631555947803","PrimeiroControlador.java"
"e","","import org.springframework.context.annotation.ComponentScan;
","147","1631555948224","PrimeiroControlador.java"
"a","Moving class Spring.domain.Pessoa to package Spring.web",,,"1631555991176","PrimeiroControlador.java"
"e","package Spring.web;

import lombok.Data;

import javax.persistence.*;
import javax.validation.constraints.NotEmpty;
import java.io.Serializable;

@Data
@Entity
@Table(name = ""pessoa"")
public class Pessoa implements Serializable {
    private static final long serialVersionUID = 1L;
    @Id
    @GeneratedValue(strategy = GenerationType.IDENTITY)
    private Long id_pessoa;
    @NotEmpty
    private String nome;
    @NotEmpty
    private String sobrenome;
    @NotEmpty
    private String email;
    @NotEmpty
    private String telefone;

}
","","0","1631555991288","Pessoa.java"
"e","","domain","35","1631555991396","IPessoaDao.java"
"e","web","","35","1631555991397","IPessoaDao.java"
"e","","domain","35","1631555991560","PrimeiroControlador.java"
"e","web","","35","1631555991561","PrimeiroControlador.java"
"e","","import Spring.web.Pessoa;","21","1631555991692","PrimeiroControlador.java"
"e","","
","21","1631555991704","PrimeiroControlador.java"
"e","","import Spring.web.Pessoa;","21","1631555991735","IPessoaDao.java"
